CAPITAL MARKETS:	FIXED INCOME SECURITIES-###-0.2774334205498315---SECURITIES REGULATION-###-0.3676808120598405---FINANCIAL DERIVATIVES-###-0.25412987751142063---
SEM IN ADV APPL OF STAT: Information Theory and Its Applications in Probability and Statistics:	
The French Novel of the 20th Century:	Culture and Identity of the Lusophone World-###-0.2974415989287388---TOPICS IN LUSOPHONE CULTURE - SOCIETY AND VISUAL ARTS-###-0.2974415989287388---Gender, Sexuality and Identity-Contemporary Caribbean Cultural Production-###-0.41266792633358945---CYBORGS, ROBOTS, AND GADGETS: TECHNOLOGIES IN CONTEMPORARY HISPANIC CINEMA-###-0.41266792633358945---ITALIAN DRAMA AND THE PERFORMANCE OF A NATION-###-0.5370144140462147---VIOLENCE AND THE SACRED-###-0.6967343276237346---GEOGRAPHY AND THE NOVEL-###-1.0---20-21ST CENTURY FRENCH NOVEL-###-0.8967906195500908---PARIS IN FILM-###-0.26297657633547306---PLATO AND ARISTOTLE IN THE RENAISSANCE-###-0.28084568535223303---Telling It All: Women as Storytellers in Hispanic Fiction-###-0.41266792633358945---DON QUIXOTE NOW AND THEN-###-0.41266792633358945---THE ENLIGHTENMENT-###-0.46695481231326696---WRITING AND REMEMBERING-###-0.3177686940991403---(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL-###-0.6077056881156828---LITERATURE AND DICTATORSHIP IN LATIN AMERICA-###-0.41266792633358945---THE ART OF THE INTERVIEW-###-0.3177686940991403---LITERATURE AND EVERYDAY LIFE IN COLONIAL SPANISH AMERICA-###-0.41266792633358945---Food in Latin American History and Culture-###-0.41266792633358945---TOPICS IN BRAZILIAN CULT: CONTEMPORARY BRAZILIAN CINEMA: SOCIETY AND REALITY EFFECTS-###-0.2974415989287388---ADAPTATIONS: FROM PAPER TO SCREEN-###-0.2890585013327752---GABRIEL GARCIA MARQUEZ AND 20TH-CENTURY LATIN AMERICAN LITERATURE-###-0.41266792633358945---The Glorious "What If?": Writing Speculative Fiction-###-0.3177686940991403---Embodied Writing: A Writing Workshop-###-0.3177686940991403---The Portrayal of Youth in Modern Spanish Literature and Film-###-0.3195685632181016---CROSSING BORDERS IN LATIN AMERICAN CINEMA-###-0.41266792633358945---SPORT, POLITICS AND LITERATURE IN ITALIAN CULTURE AND BEYOND-###-0.6077056881156828---How a Story Works: The Art of Fiction-###-0.3177686940991403---TPCS: SPAN/LTAM CINEMA: LATIN AMERICAN FILM-###-0.41266792633358945---BODY AND SOUL:  HISPANIC PERSPECTIVES ON HEALTH, ILLNESS, AND HEALTHCARE-###-0.41266792633358945---Architecture of Latin American Identities-###-0.41266792633358945---21st Century Latin American Literature-###-0.41266792633358945---French Modernity and Its Discontents-###-0.8753686165401117---TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE-###-0.2890585013327752---STUDIES IN SPAN CULTURE-###-0.2800304372922961---After Odysseus. On Hospitality in France, North Africa & the Mediterranean-###-0.7708108998835195---Story-Telling in Fiction and Nonfiction-###-0.3177686940991403---MEXICO: REVOLUTION AND CULTURE-###-0.41266792633358945---Modern and Contemporary Spanish Literature: Penn in Madrid-###-0.41266792633358945---CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION-###-0.41266792633358945---THERE WILL BE BLOOD: REPRESENTATION OF THE CONQUISTADOR IN LATIN AMERICA-###-0.41266792633358945---Reading Old Spanish: Language in Context-###-0.41266792633358945---CLOISTER, CASTLE AND COURT: MEDIEVAL IBERIAN LITERATURE & ARCHITECTURE-###-0.41266792633358945---Don Quijote Then and Now-###-0.41266792633358945---THE WORLD OF WORK-###-0.3177686940991403---WOMEN, CINEMA AND SOCIETY IN FRANCE SINCE 1944-###-0.769132305833788---CONTEMPORARY SPANISH CINEMA-###-0.41266792633358945---TOPICS: ITALIAN CULTURE: Love in Italian Literature-###-0.6077056881156828---WOMEN IN ITALIAN LITERATURE & CINEMA-###-0.2890585013327752---DANTE'S WORKS-###-0.6015217280656474---CONTEMPORARY NOVEL:  LITERATURE, POLITICS, ECONOMY-###-0.2974857179922734---THE NOVEL AND MARRIAGE-###-0.5678011346330613---FROM PAPER TO SCREEN: CINEMATIC ADAPTATIONS-###-0.2890585013327752---Love in Italian Literature-###-0.6077056881156828---ROME AND THE MARGINS OF MODERNISM-###-0.279779797772896---MURDERING THE PAST:  SPANISH POST-FRANCO NARRATIVE BY WOMEN-###-0.41266792633358945---Art & Ideology-Medieval & Early Modrn Iberia: Jews,Christians,Gypsies,Moors-###-0.41266792633358945---To Whom It May Concern: Literary Letters in Latin America-###-0.41266792633358945---ARCHAEOLOGY OF FICTION-###-0.3177686940991403---THE FANTASTIC VOYAGE FROM HOMER TO SCIENCE FICTION-###-0.43756652561667436---MLA Proseminar: Looking for Don Quixote-###-0.41266792633358945---Fictions of Exceptionality in 20th-Century Latin American Literature-###-0.41266792633358945---Topics in Luso-Brazilian Culture: Society and Visual Arts-###-0.2573020579918214---BLACK FRANCE: HISTORY AND REPRESENTATIONS-###-0.9328351928140891---SPANISH THEATER:  TEXT AND REPRESENTATION-###-0.41266792633358945---CONTEMP BRAZILIAN CINEMA-###-0.2974415989287388---Fiction and Poetry-###-0.3177686940991403---DON QUIJOTE THEN AND NOW-###-0.41266792633358945---GLOBAL FRANCE-###-0.9328351928140891---MEXICAN CINEMA-###-0.41266792633358945---The Fantastic Voyage from Homer to Science Fiction-###-0.43756652561667436---The Country, the City and the Borderland in Contemporary Latin American Lit-###-0.41266792633358945---SCIENCE AND LITERATURE-###-0.2974857179922734---Latin American Literature and Pop(ular) Culture-###-0.41266792633358945---Antonioni and Fellini: The Challenge of (Post)modernist Cinema-###-0.279779797772896---The Holocaust - Representation and Silence-###-0.2974857179922734---DON QUIJOTE: DON QUIJOTE THEN & NOW-###-0.41266792633358945---STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY-###-0.41266792633358945---Between Fact and Fiction: Chronicle in Lt America from Span Conquest-21st C-###-0.41266792633358945---Reality and Appearance in Golden Age Spain-###-0.41266792633358945---THE SECRET CIRCLE: CRIME & CONSPIRACY FICTIONS IN CONTEMP LT AM LITERATURE-###-0.41266792633358945---Culture and Identity in the Lusophone World-###-0.2573020579918214---Voices & Texts: Music, Literature & Culture in Modern & Contemporary Spain-###-0.3195685632181016---FRESHMAN SEMINAR: REPRESENTING AFRICA-###-0.43756652561667436---POLITICS:  RHETORIC AND POWER IN ITALIAN CULTURE AND BEYOND-###-0.2890585013327752---Food in Italian Culture: From Court Banquets to Food Trucks-###-0.6077056881156828---EXPERIMENTAL CULTURES AND POLITICS IN SPAIN-###-0.2800304372922961---The City: Literary and Visual Tradition-###-0.6077056881156828---Gabriel Garcia Marquez and Latin American Literature-###-0.41266792633358945---LATIN AMERICAN FILM-###-0.41266792633358945---Writing and Remembering: A Memoir Workshop-###-0.3177686940991403---
JUSTICE:	
MEAM LAB I:	MECH ENG DESIGN PROJECTS-###-0.2653763437884007---
INTERMEDIATE PUNJABI II:	INTERMEDIATE GUJARATI II-###-0.6121790741467076---
WRITING SEMINAR IN CINE: OUR ANIMALS, OURSELVES:	CRITICAL WRITING SEMINAR: DAVINCI:SCIENTIST ARTIST-###-0.8646518318400421---CRITICAL WRITING SEMINAR: EINSTEIN & PICASSO-###-0.8646518318400421---WRITING SEMINAR IN EAS: WHAT DRIVES ENGINEERING-###-0.8528641840183355---WRITING SEMINAR IN ARTH: SAMPLE, REMIX, MASH-UP-###-0.9233387576729999---WRITING SEMINAR IN ENGL: COMIC ART-###-0.9371636769888008---WRITING SEMINAR IN COML: COSTUMES & IDENTITY-###-0.8940679423986778---WRITING SEMINAR IN RHET: THEORIES OF COMEDY-###-0.7813985068378257---WRITING SEMINAR IN PHIL: THE ETHICS OF IDENTITY-###-0.9004757918820991---WRITING SEMINAR IN STSC: VIDEO GAME PSYCHOLOGY-###-0.7823394422407943---WRITING SEMINAR IN AMST: URBAN PHOTOGRAPHY-###-0.9011338920548002---WRITING SEMINAR IN PHIL: THE ETHICS OF IMAGES-###-0.9004757918820991---WRITING SEMINAR IN HIST: AFRICA IS NOT A COUNTRY-###-0.8869161748026227---WRITING SEMINAR IN PSYC: MORALITY IN BABIES-###-0.8798433413894933---WRITING SEMINAR IN MUSC: THE TUNING OF THE WORLD-###-0.7963117874913475---WRITING SEMINAR IN PHYS: PHYSICS & FREE WILL-###-0.892618704941225---WRITING SEMINAR IN BIBB: NEUROSCIENCE FREE WILL-###-0.8625497701640685---WRITING SEMINAR IN ANTH: GLOBAL HEALTH-###-0.8383706795966785---WRITING SEMINAR IN RHET: QUESTIONS OF NORMALCY-###-0.7813985068378257---CRITICAL WRITING SEMINAR: THE TEENAGE BRAIN-###-0.8646518318400421---WRITING SEMINAR IN HIST: REINVENTING AFRICA-###-0.8869161748026227---WRITING SEMINAR IN COMM: DISNEY & THE THEME PARK-###-0.9037974502791969---WRITING SEMINAR IN HIST: THE LION KING-###-0.8869161748026227---WRITING SEMINAR IN RHET: SPORTS SCANDALS-###-0.7813985068378257---WRITING SEMINAR IN COML: CAPITALIST SUPERHEROES-###-0.8940679423986778---WRITING SEMINAR IN EAS: ART OF ENGINEERING-###-0.8528641840183355---WRITING SEMINAR IN ARTH: VISUAL COMMUNICATION-###-0.9233387576729999---WRITING SEMINAR IN PHIL: HUMAN EXTINCTION-###-0.9004757918820991---WRITING SEMINAR IN STSC: MARINE ECOLOGIES-###-0.7823394422407943---WRITING SEMINAR IN COML: BORGES'S SHORT FICTION-###-0.8940679423986778---WRITING SEMINAR IN PSCI: THE REINVENTION OF RACE-###-0.8464507294092193---WRITING SEMINAR IN CLST: CLASSICAL MYTHOLOGY-###-0.8935750959049498---WRITING SEMINAR IN STSC: GEEK HERESY-###-0.7823394422407943---WRITING SEMINAR IN COMM: U.S. CELEBRITY CULTURES-###-0.9037974502791969---WRITING SEMINAR IN BIBB: HOW MEMORIES DEFINE US-###-0.8625497701640685---WRITING SEMINAR IN PHIL: DIGITAL ART-###-0.9004757918820991---WRITING SEMINAR IN ASAM: MINORITIES AND THE MEDIA-###-0.7967215652623374---WRITING SEMINAR IN ECON: DECISION MAKING-###-0.858486570080734---WRITING SEMINAR IN COMM: NETWORKED TEENAGERS-###-0.9037974502791969---WRITING SEMINAR IN MUSC: MUSIC AND THE BRAIN-###-0.7963117874913475---WRITING SEMINAR IN ENGL: MODERN MYSTICISM/MAGICK-###-0.9371636769888008---WRITING SEMINAR IN PSYC: ANATOMY OF VIOLENCE-###-0.8798433413894933---WRITING SEMINAR IN STSC: TECH TO SAVE THE WORLD?-###-0.7823394422407943---WRITING SEMINAR IN PHIL: MADNESS & DELUSION-###-0.9004757918820991---WRITING SEMINAR IN PSCI: MASS INCARCERATION-###-0.8464507294092193---CRITICAL WRITING SEMINAR: Legal Rights for Nature (NON-LPS)-###-0.8646518318400421---WRITING SEMINAR IN BIBB: YOUR BRAIN ON MEDITATION-###-0.8625497701640685---WRITING SEMINAR IN COMM: MARKETING LIKES-###-0.9037974502791969---WRITING SEMINAR IN PSCI: EMOTIONS AND POLITICS-###-0.8464507294092193---WRITING SEMINAR IN EDUC: NATION OF IMMIGRANTS-###-0.860136210211245---WRITING SEMINAR IN ENGL: COMICS & GRAPHIC NOVELS-###-0.9371636769888008---WRITING SEMINAR IN ANTH: BUSINESS OF DOING GOOD-###-0.8383706795966785---WRITING SEMINAR IN EDUC: SCHOOLING AND DEMOCRACY-###-0.860136210211245---WRITING SEMINAR IN BIOL: ANIMAL EMOTIONS-###-0.9068238985037687---WRITING SEMINAR IN URBS: A WORLD OF CITIES-###-0.8830126236599667---WRITING SEMINAR IN STSC: SEXUAL SELECTION-###-0.7823394422407943---WRITING SEMINAR IN ANTH: GLOBAL DEVELOPMENT &NGOS-###-0.8383706795966785---WRITING SEMINAR IN ANTH: PHILANTHROPY/DISCONTENTS-###-0.8383706795966785---WRITING SEMINAR IN PSCI: DEMOCRACY IN AMERICA-###-0.8464507294092193---WRITING SEMINAR IN ASAM: RACE AND POPULAR CINEMA-###-0.7967215652623374---WRITING SEMINAR IN PSCI: THE URBAN INVASION-###-0.8464507294092193---WRITING SEMINAR IN COGS: DREAMING AND SLEEP-###-0.8781457054869856---WRITING SEMINAR IN RHET: POLITICAL SPEECH & TONE-###-0.7813985068378257---WRITING SEMINAR IN COML: ALIENS, HUMANS & HYBRIDS-###-0.8940679423986778---WRITING SEMINAR IN PSYC: NEUROSCIENCE OF VIOLENCE-###-0.8798433413894933---WRITING SEMINAR IN ARTH: ART & POLITICS-###-0.9233387576729999---WRITING SEMINAR IN PHYS: TIME TRAVEL-###-0.892618704941225---
CLINICAL PSYCHOPHARMACOL:	INTEGRATED PATHOPHYSIOLOGY, PHARMACOLOGY, AND THERAPEUTICS-###-0.2758163249421504---Drug Wars:  The Influence of Psychoactive Rhetoric-###-0.30871225846985434---BEHAVIORAL PHARMACOLOGY-###-0.25196600778800177---
COLLOQ. ARABIC MOROCCAN:	MODERN ARABIC LITERATURE: ARAB WOMEN & WAR-###-0.2608963646676581---ARAB WOMEN & WAR-###-0.3011812080491736---
ETHNO APP TO URBN ATHLET:	PUBLIC INTEREST WORKSHOP-###-0.2587270121138733---Anthropology and Praxis: Transforming Social Life-###-0.28343476091391456---
CONTR IN PSYC & NEUROSCI:	
