TRUTH, POLITICS, ETHICS: ANTHROPOLOGICAL SEMINAR:	TOPICS IN ETHICS 0.15585828721390835,INTRO CULTURAL ANTHRO 0.10696044756418209,INTRO TO MED ANTHRO 0.12037345827576165,INTRO TO MED ANTHRO 0.12037345827576165,INTRO PALEOPATHOLOGY 0.1029913860463615,ETHICS IN THE PROFESSION: BUSINESS ETHICS 0.11203508042079884,
AMERICAN CIVIL RELIGION:	
HISTORY OF AMERICAN LAW:	RESEARCH METHODS IN SOCIAL ANTHROPOLOGY 0.10312782220197556,QUANTITATIVE RESEARCH DESIGN AND METHODS 0.11412874079191133,The US and Human Rights: Policies and Practices 0.20367179873721994,LAW AND SOCIAL CHANGE 0.19384758358956863,RESEARCH METHODS IN SOCIAL ANTHROPOLOGY 0.10312782220197556,RESPONSIBILITY IN BUS. 0.1679907849400675,QUANTITATIVE RESEARCH DESIGN AND METHODS 0.11412874079191133,LAW OF MKTG & ANTITRUST 0.1690135294237838,REAL ESTATE LAW 0.12099184847058045,QUANTITATIVE RESEARCH DESIGN AND METHODS 0.11412874079191133,WOMEN IN ANCIENT EGYPT 0.11158361123797943,PROFESSIONAL ISSUES IN MIDWIFERY 0.1754999636022872,CONTEMP ISSUES AFR SOCIE 0.23206391217797104,SECURITIES REGULATION 0.10666355174499825,Contemporary Issues in African Society 0.23206391217797104,HIST OF AMER LAW TO 1877 0.37249461582807314,LITERATURE AND LAW 0.28243646014332896,ECONOMIC ANALYSIS OF LAW 0.3720870983612429,LAW & SOCIETY 0.21710883172177034,LAW IN AFRICA 0.20367179873721994,LAW AND SOCIAL CHANGE 0.19384758358956863,
PHILOSOPHY OF ECONOMICS:	STRATEGIC REASONING 0.17858707954186792,ENVIRON. & ENERGY ECON 0.10481390640045166,EXPERIMENTAL ECONOMICS 0.1947384771602482,STRATEGIC REASONING 0.17858707954186792,PHIL OF SCIENCE 0.11937564676016416,PHILOSOPHY OF PHYSICS 0.11911822744737478,INTERNATIONAL POL. ECON: International Political Economy 0.11951242628960329,ELEC SYSTEMS & MARKETS 0.1039628080232417,INT'L COMPARATIVE MGMT. 0.1091429945785676,STOCHASTIC PROCESSES 0.10316943815753667,MONETARY ECON & GLOB ECO 0.1028018933547022,
INTR NETWRKS & PROTOCOLS:	NETWKING THEORY & FUND 0.24459399870779436,COMP & NETWORK SEC 0.11493682014805688,UNDERSTAND SOC NETWORKS 0.15203623277951994,NETWKING THEORY & FUND 0.24459399870779436,
FNCE OF BUYOUTS & ACQS:	ACCELERATED CORP FINANCE 0.11991909008392791,CORPORATE FNCE (HALF CU) 0.13555974406230215,CORP. GOVERNANCE EXEC 0.10020791568751589,ENTREP THROUGH ACQUIS.: Entrepreneurship through Acquisitions 0.12958998739259783,CORP DEV: MERG & ACQUIS 0.15029580859130637,CORPORATE VALUATION 0.12470433169513938,CORPORATE FINANCE 0.14281092363203096,Nonprofit Financial Management 0.1277435761338373,MERGERS & ACQUISITIONS 0.15140278310777092,SECURITIES REGULATION 0.14545137973510222,ADV BUSINESS CHINESE II 0.11049200978991945,CORPORATE FINANCE 0.14281092363203096,INT PROP&BUS LAW FOR ENG 0.10201463277371958,CORPORATE VALUATION 0.17965934096745054,Private Equity in Emerging Markets 0.10932833078512168,MNG STRAT PARTNERSHIPS: Managing Strategic Partnerships 0.13276320096003996,ADVANCED CORP FINANCE 0.1298305257037548,ADVANCED CORP FINANCE 0.13096006578808797,
Digital Marketing and Electronic Commerce:	Digital Marketing, Social Media and E-Commerce 0.29746823755931184,LECTURE 0.1305342229831575,ENERGY ENGINEERING 0.12311563332305321,
INTRODUCTORY STATISTICS:	DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.24203556406603038,INTRODUCTORY STATISTICS 0.13828671387984695,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.24203556406603038,STATISTICAL MECHANICS 0.12325136214822432,QUANTITATIVE METHODS I 0.14495093163959671,ENGR APPLIC OF STATISTIC 0.37727370390217774,DISCRETE PROB & STAT INF 0.17584723309703637,STATISTICAL METHODOLOGY 0.12267198217692538,INTRO TO PROB & STAT 0.11346395584102895,PROB&STATS FOR BIOT 0.23176552971185602,STATISTICAL INFERENCE 0.12351312175697653,BIOL DATA SCIENCE I 0.20631196670437876,ESTIMATION & DETEC THRY 0.10361783104975518,APPLIED ECONOMETRICS I 0.10608756278464614,INTRO BUSINESS STAT 0.3221115242462455,DES&DEV WEB-BASED PROD: DESIGN & DEVELOPMENT OF WEB-BASED PRODUCTS AND SERVICES 0.10293196071984462,SOCIAL STATISTICS 0.1454615155835084,ANAL METH ECON, LAW MED 0.12805948309851617,INTRODUCTION TO QUANTITATIVE METHODS FOR POLICY ANALYSIS 0.21140138775524348,ENGR APPLIC OF STATISTIC 0.37727370390217774,INTRO TO PROB & STAT 0.11346395584102895,STAT FOR ECONOMISTS 0.3190737147995772,APPLIED ECONOMETRICS II 0.15904898404680026,INTRO BUSINESS STAT 0.3221115242462455,QUANTITATIVE METHODS I 0.14495093163959671,
ENGINEERING ECONOMICS:	REAL ESTATE DEVELOPMENT 0.11537226832126846,REAL ESTATE DEVELOPMENT 0.11537226832126846,INTRODUCTORY STATISTICS 0.10458051723922786,LIVING WORLD IN ARCHAEOLOGICAL SCIENCE 0.11621017012444516,ENGR APPLIC OF STATISTIC 0.14772546123548239,LIVING WORLD IN ARCHAEOLOGICAL SCIENCE 0.11621017012444516,MACROECN & GLOBAL ECONOM 0.1286602949852671,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.12459115579655489,CORPORATE FINANCE 0.11059817272073984,BIOMED IMAGE ANALYSIS 0.1121350951673124,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.12432745813310371,REAL ESTATE DEVELOPMENT 0.11537226832126846,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.12459115579655489,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.12432745813310371,MONETARY ECON & GLOB ECO 0.15344550150270894,GAME THEORY 0.10887665596399144,VENT CAP & FNCE INNOVAT 0.11652987150615302,ENGINEERING ETHICS 0.10953733909617601,MACROECN & GLOBAL ECONOM 0.1286602949852671,ENGR APPLIC OF STATISTIC 0.14772546123548239,CORPORATE FINANCE 0.11059817272073984,REAL ESTATE INVESTMENTS 0.10055488916494934,CONTROL OF SYSTEMS 0.12347980554237771,MACROECN & GLOBAL ECONOM 0.1286602949852671,APPLIED ECONOMETRICS II 0.1085466357279318,BIOMED IMAGE ANALYSIS 0.1121350951673124,TAXES AND BUS STRATEGY 0.12927604198352635,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.12459115579655489,MACROECN & GLOBAL ECONOM 0.1286602949852671,
NARRATIVE ACROSS CULTURES:	INTRO LITERARY ANALYSIS 0.102966209161745,HANDSCHRIFT-HYPERTEXT 0.11020954608925913,VIDEO I 0.11017249076766031,
ACCELERATED INTERMD GRMN:	ADVANCED PORTUGUESE 0.12248959490662353,ACCELERATED ELEM GERMAN 0.4029461181227169,ADVANCED PROFICIENCY II 0.11414142862615137,ADVANCED PROFICIENCY II 0.11414142862615137,INTERMEDIATE GERMAN I 0.6522923382861724,INTERMEDIATE GERMAN I 0.6522923382861724,ELEM VIETNAMESE I 0.11103043296336074,ELEMENTARY TURKISH I 0.10531522455962736,INTERMEDIATE SPANISH II 0.10161654291239539,ELEMENTARY TURKISH I 0.10531522455962736,ELEMENTARY TURKISH I 0.10531522455962736,INTERMED PERSIAN I 0.10643553820530093,ELEM TURKISH II 0.1105508816185707,INTERMEDIATE GERMAN II 0.5198673813697148,ELEMENTARY LATIN I 0.13050091463578573,ELEMENTARY GERMAN II 0.22657223436362256,ELEMENTARY SPANISH I 0.10114739959934883,JEWISH FOLKLORE 0.10199605182815874,JEWISH FOLKLORE 0.10199605182815874,ACCELERATED ELEM GERMAN 0.4029461181227169,INTERMED PERSIAN II 0.12564001321222507,JEWISH FOLKLORE 0.10199605182815874,INTERMED INDONESIAN II 0.2901836928191371,ADVANCED SPANISH 0.1478172154485103,ADVANCED PORTUGUESE 0.12273256581374967,ADVANCED SPANISH 0.1478172154485103,JEWISH FOLKLORE 0.10199605182815874,ELEMENTARY GERMAN II 0.22657223436362256,PORTRAITS RUSS SOCIETY 0.10679183051807471,
INTRO. TO LITERARY STUDY: GLOBAL NOVEL:	
BIG DATA, BIG RESP.:	SOCIAL STRATIFICATION 0.10560787489343096,DATA SCIENCE 0.113287828000171,
INTERMEDIATE GERMAN I:	ADVANCED PORTUGUESE 0.1091996955499909,ELEM TURKISH II 0.10565118187025517,TECH COMM & ACAD WRITING 0.10555490259111139,INTERMEDIATE GERMAN II 0.3705353924728094,ELEMENTARY LATIN I 0.10699076648591743,ELEMENTARY GERMAN II 0.2448264534725838,HANDSCHRIFT-HYPERTEXT 0.12285295113922405,ACCELERATED INTERMD GRMN 0.6522923382861724,INTERMEDIATE YIDDISH II 0.11858883653843456,ELEMENTARY SPANISH I 0.11379940180707893,ACCELERATED INTERMD GRMN 0.6522923382861724,TECH COMM & ACAD WRITING 0.10555490259111139,TECH COMM & ACAD WRITING 0.10555490259111139,INTERMED PERSIAN II 0.13843390165973588,ELEM VIETNAMESE I 0.11186348043127087,INTERMED INDONESIAN II 0.24359512271253553,ADVANCED SPANISH 0.14171286607596054,ADVANCED PORTUGUESE 0.10941630455344056,TECH COMM & ACAD WRITING 0.10555490259111139,ADVANCED SPANISH 0.14171286607596054,ELEMENTARY GERMAN II 0.2448264534725838,INTERMED PERSIAN I 0.11839587653414374,
RISK ANALY & ENV MGMT: Risk Analysis and Environmental Management:	LAW IN AFRICA 0.14608814611847482,BIOCHEMISTRY RESEARCH 0.11149160899698238,The US and Human Rights: Policies and Practices 0.1460881461184748,
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture:	ADVANCED WRITING PROJECTS IN THE ARTS AND POPULAR CULTURE 0.14454492817558603,SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture 0.7731258303207862,COMMUNICATION BEHAVIOR 0.13304249584506436,TELEVISION AND NEW MEDIA 0.1259510497573816,LAW AND SOCIAL CHANGE 0.11165302298058827,AR RDGS SOC SCI 0.11309302912088309,ELEC SYSTEMS & MARKETS 0.12198847084382451,ADVERTISING AND SOCIETY 0.1598718492026322,COMMUNICATION BEHAVIOR 0.12466181060407529,CULTURE, CONSUMPTION, AND PRODUCTION IN THE GLOBAL MARKETPLACE 0.16618704648589122,DEVIANCE & SOC CONTROL 0.11948759632983846,MEDIA AND RELIGION 0.12367550898146902,SOC. OF MEDIA & POP CULT 0.7731258303207862,MEDIA ARABIC 0.11309302912088309,SOCIAL PROB & PUB POLICY: Social Problems & Public Policy 0.14279606966522151,SPORTS BUSINESS MGMT 0.15783887028268023,MODERN JAPANESE HISTORY 0.10544395331816411,SPORTS BUSINESS MGMT 0.15783887028268023,WORK AND IDENTITY 0.1214245534451494,Asian Americans in Contemporary Society 0.10088908135665844,SPORTS BUSINESS MGMT 0.15783887028268023,JAPANESE POPULAR CULTURE 0.1100588976456676,TELEVISION AND NEW MEDIA 0.1259510497573816,LAW AND SOCIAL CHANGE 0.11165302298058827,
INTRODUCTION TO ISLAM:	SOCIOLOGY OF GENDER 0.10250101887214451,CROSS CULTRL APPR HEALTH 0.12369904252661086,WORLD MUSICS & CULTURES 0.10179673966755202,SOCIOLOGY OF GENDER 0.10329608343341466,SCRIMMAGE OVER SCRIPTURE: Bible in the Cultures of Jews, Christians and Muslims 0.10742745954468298,WORLD MUSICS & CULTURES 0.10179673966755202,MEDIA AND RELIGION 0.11783703640779057,MODERN JAPANESE HISTORY 0.10305330298905135,Spanish Surrealism:  The Works of Salvador Dali 0.13710985055387023,WORLD MUSICS & CULTURES 0.10179673966755202,ISLAM IN MODERN WORLD 0.2604447891831615,WORLD MUSICS & CULTURES 0.10179673966755202,INTRO VIS CULT ISLAM WLD 0.19892544905152756,WORLD MUSICS & CULTURES 0.10179673966755202,INTRO VIS CULT ISLAM WLD 0.19892544905152756,
CREAT.NON-FICTION WRIT: CREATIVE NONFICTION:	ADVANCED WRITING PROJECTS IN THE ARTS AND POPULAR CULTURE 0.18342096018996124,PRINCIPLES OF ADVERTISNG 0.10683815672422135,POETRY WRITING WORKSHOP 0.10863361050073017,CONFLICT, LAW AND JUSTICE IN EARLY AMERICA: CROSS-CULTURAL APPROACHES 0.12133957701971282,JAPANESE POPULAR CULTURE 0.1059510930290145,THE ARTS & POPULAR CULT. 0.17050741989723492,PRINCIPLES OF ADVERTISNG 0.10683815672422135,ADVERTISING AND SOCIETY 0.16403388974852523,THE ARTS & POPULAR CULT.: THE ARTS AND POPULAR CULTURE:  BOB DYLAN 0.17050741989723492,
NARRATIVE ACROSS CULTURES:	INTRO LITERARY ANALYSIS 0.102966209161745,HANDSCHRIFT-HYPERTEXT 0.11020954608925913,VIDEO I 0.11017249076766031,
ANONYMOUS:  HISTORY'S MOST PROLIFIC COMPOSER:	WORLD MUSICS & CULTURES 0.10625782553375604,1000 YRS MUSICAL LISTENG 0.11461576576611464,JAZZ STYLE AND HISTORY 0.12441719541038562,JAZZ:STYLE & HISTORY 0.12441719541038562,
DIFFERENTIAL GEOMETRY:	
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE:	MATERIALS SELECTION 0.13557496067660046,LIVING WORLD IN ARCHAEOLOGICAL SCIENCE 0.5585077306460043,ARCHAEOMETALLURGY SEMINAR 0.20221510525571043,INTRO TO ARCHAEOLOGY 0.14818251081201603,ELECTROCHEM ENG OF MATLS 0.10213787037471393,INTRO ARCHAEOLOGY 0.18594985594760724,ENGINEERING ECONOMICS 0.12432745813310371,LIVING WORLD IN ARCHAEOLOGICAL SCIENCE 0.5585077306460043,Petrography of Cultural Materials 0.123754341674953,STRUCTURAL MATERIALS 0.10530666512029906,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.9654833218968605,STRUCTURAL MATERIALS 0.14327840622556415,INTRO NANOSCALE MATL 0.10525973226421562,INTRODUCTION ARCHAEOLOGY 0.14818251081201603,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.9654833218968605,INTRO TO ARCHAEOLOGY: LECTURE 0.14818251081201603,PLANTS AND SOCIETY 0.15728875313600463,MATERIALS IN MECH DESIGN 0.16142131778273336,ENGINEERING ECONOMICS 0.12432745813310371,GREAT DISCOV ARCHAEOLOGY 0.10718173889736397,ARCHAEOLOGY: WINDOW TO THE HUMAN PAST 0.18594985594760724,INTRO ARCHAEOLOGY: LECTURE 0.14818251081201603,NANO-SCALE MATERIALS LAB 0.130801940824718,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.9654833218968605,ENGINEERING ECONOMICS 0.12432745813310371,Petrography of Cultural Materials 0.123754341674953,THE PAST PRESERVED: CONSERVATION IN ARCHAEOLOGY 0.11315385645283073,
MEDICAL DEVICES:	ELEC PHOT ELECTR DEV 0.118254882090822,DESIGN FOR MANUF 0.10501889416994839,MEDICAL DEVICES 0.18673052453290126,MEDICAL DEVICES 0.18673052453290126,DIG INTEG CIRC&VLSI-FUND 0.10674022576497624,BIOENG CASE STUDIES 0.129903302529888,SPAN FOR MED PROF INT I 0.1274396261282743,LECTURE 0.11923462844992704,
