node1,weight,node2
TRUTH POLITICS ETHICS: ANTHROPOLOGICAL SEMINAR,0.1551340756067541,TOPICS IN ETHICS
TRUTH POLITICS ETHICS: ANTHROPOLOGICAL SEMINAR,0.1058361290770823,INTRO CULTURAL ANTHRO
TRUTH POLITICS ETHICS: ANTHROPOLOGICAL SEMINAR,0.11972921954915233,INTRO TO MED ANTHRO
TRUTH POLITICS ETHICS: ANTHROPOLOGICAL SEMINAR,0.10291569608535452,INTRO PALEOPATHOLOGY
TRUTH POLITICS ETHICS: ANTHROPOLOGICAL SEMINAR,0.11103902892823354,ETHICS IN THE PROFESSION: BUSINESS ETHICS
HISTORY OF AMERICAN LAW,0.10133491142731384,RESEARCH METHODS IN SOCIAL ANTHROPOLOGY
HISTORY OF AMERICAN LAW,0.11191464474026917,QUANTITATIVE RESEARCH DESIGN AND METHODS
HISTORY OF AMERICAN LAW,0.20007782643064273,The US and Human Rights: Policies and Practices
HISTORY OF AMERICAN LAW,0.19148358441156116,LAW AND SOCIAL CHANGE
HISTORY OF AMERICAN LAW,0.16696422861865415,RESPONSIBILITY IN BUS.
HISTORY OF AMERICAN LAW,0.16649722115480464,LAW OF MKTG & ANTITRUST
HISTORY OF AMERICAN LAW,0.1186106100653868,REAL ESTATE LAW
HISTORY OF AMERICAN LAW,0.10122654460499463,RESP IN GLOBAL MGMT
HISTORY OF AMERICAN LAW,0.10816832979872201,WOMEN IN ANCIENT EGYPT
HISTORY OF AMERICAN LAW,0.17471173070413046,PROFESSIONAL ISSUES IN MIDWIFERY
HISTORY OF AMERICAN LAW,0.22812364139002966,CONTEMP ISSUES AFR SOCIE
HISTORY OF AMERICAN LAW,0.10700208664664942,SECURITIES REGULATION
HISTORY OF AMERICAN LAW,0.22812364139002966,Contemporary Issues in African Society
HISTORY OF AMERICAN LAW,0.3706236843319996,HIST OF AMER LAW TO 1877
HISTORY OF AMERICAN LAW,0.2779681275054114,LITERATURE AND LAW
